BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201912,16,1913,201912,16,1913,144130,869728,MISSISSIPPI,28,December,Thunderstorm Wind,C,129,SMITH,JAN,16/12/19 19:13,CST-6,16/12/19 19:13,0,0,0,0,0,0,Trained Spotter,52,EG,1,NW,TAYLORSVILLE,1,NW,TAYLORSVILLE,31.84,-89.44,31.84,-89.44,"A well defined, positively-tilted trough existed across the Southern Plains and at the surface, a cold front was progressing across Arkansas and Louisiana, while an intensifying area of low pressure propagated northeast along the boundary. Discrete supercells developed in the morning on December 16 and moved northeast, spawning multiple strong tornadoes over northeast Louisiana and south Mississippi. These storms produced a total of 10 tornadoes.",A trained spotter estimated a 60 mph wind gust.,CSV
201912,16,1740,201912,16,1740,144980,870615,TENNESSEE,47,December,Thunderstorm Wind,C,117,MARSHALL,OHX,16/12/19 17:40,CST-6,16/12/19 17:40,0,0,0,0,3000,0,Emergency Manager,52,EG,1,SSE,CORNERSVILLE,1,SSE,CORNERSVILLE,35.3517,-86.842,35.3517,-86.842,"A powerful late fall storm system moved across the eastern U.S. on December 16, 2019, bringing widespread severe thunderstorms and numerous tornadoes to the Gulf Coast states and Tennessee Valley. Across Middle Tennessee, a line of showers and thunderstorms moved across the area during the afternoon hours, bringing wind damage and two EF-0 tornadoes to counties near the Alabama border. Widespread heavy rainfall also caused flash flooding in many areas.",Trees were blown down in Cornersville on Harwell Lane and one fell onto an outbuilding on Front View Street.,CSV
201910,21,115,201910,21,115,143328,860147,MISSOURI,29,October,Thunderstorm Wind,C,153,OZARK,SGF,21/10/19 1:15,CST-6,21/10/19 1:15,0,0,0,0,28000,0,Public,52,EG,3,NW,SYCAMORE,3,NW,SYCAMORE,36.7261,-92.3154,36.73,-92.31,"A line of strong to severe thunderstorms moved across the region from the late evening of the 20th to the pre-dawn hours of the 21st as a cold front and negatively-tilted upper trough moved across the region. Widespread wind damage occurred across southwest and south central Missouri, mainly south of Interstate 44. NWS Storm Damage Surveys concluded that eight tornadoes occurred along the squall line, affecting locations in and near the communities of Sparta, Rogersville, Highlandville, Licking and Willow Springs, as well as areas on the southeast side of Springfield, and along Wilson���s Creek south of Battlefield. Rainfall accumulations over an inch were common along and east of a line from Joplin to Osage Beach, with isolated accumulations over two inches near Aldrich and Bolivar in Polk County.",A barn and several outbuildings suffered minor to moderate damage.,CSV
201906,9,1810,201906,9,1810,137231,835446,TEXAS,48,June,Thunderstorm Wind,C,453,TRAVIS,EWX,09/06/19 18:10,CST-6,09/06/19 18:10,0,0,0,0,0,0,Trained Spotter,70,EG,2,NNE,MANOR,2,NNE,MANOR,30.35,-97.54,30.35,-97.54,Thunderstorms developed along a cold front that moved through the region. These storms formed in an unstable airmass with high CAPE and steep mid-level lapse rates leading to large hail and widespread damaging wind gusts many of which were estimated to be over 70 mph.,A thunderstorm produced wind gusts estimated at 70 kts. in Manor.,CSV
201908,17,1238,201908,17,1238,142247,854046,NEW YORK,36,August,Thunderstorm Wind,C,11,CAYUGA,BUF,17/08/19 12:38,EST-5,17/08/19 12:38,0,0,0,0,2000,0,Law Enforcement,50,EG,1,SSE,CATO,1,SSE,CATO,43.15,-76.57,43.15,-76.57,"A mid-level shortwave moved east through the eastern Great Lakes, with a trailing weak surface trough and locally grown lake breeze and differential heating boundaries. An initial area of convection moved through the Niagara Frontier to western Lake Ontario in the morning, with additional development down the trough axis over Lake Erie and western New York. The somewhat early arrival of convection limited destabilization to some extent, but we still managed moderate instability by early to mid afternoon with a very moist environment. Low level winds were light, but somewhat better mid-level flow yielded moderate vertical wind shear.",Trees and wires were reported down.,CSV
201906,20,1619,201906,20,1621,139180,837195,SOUTH CAROLINA,45,June,Thunderstorm Wind,C,89,WILLIAMSBURG,ILM,20/06/19 16:19,EST-5,20/06/19 16:21,0,0,0,0,1000,0,Law Enforcement,52,EG,5,N,FOWLER,5,N,FOWLER,33.77,-79.69,33.77,-79.69,An upper trough combined with a surface trough to produce a severe weather outbreak over eastern South Carolina.,Tree down on Bradley Bay Road.,CSV
201910,20,2246,201910,20,2246,142648,863136,TEXAS,48,October,Thunderstorm Wind,C,223,HOPKINS,FWD,20/10/19 22:46,CST-6,20/10/19 22:46,0,0,0,0,5000,0,Public,61,EG,4,SE,REILLY SPGS,4,SE,REILLY SPGS,32.968,-95.5072,32.968,-95.5072,"Thunderstorms erupted across the DFW Metroplex as a strong upper level system and a cold front impacted the region on the evening of October 20 through the early morning hours of October 21st. A few storms developed ahead of the approaching cold front in the late evening hours of the 20th, producing tornadoes in Dallas and surrounding areas. Additional storms formed a squall line along the cold front, producing a large swath of damaging winds across North and Central Texas overnight into the early hours of October 21st. A total of 10 tornadoes were identified by NWS Survey teams, occurring both within the storms ahead of the cold front, and embedded within the squall line. The strongest of these tornadoes was an EF-3 that stretched almost 16 miles across the northern portions of Dallas County. Following on the heels of that tornado, an EF-2 tracked about 2.5 miles through Garland in Dallas County. The remaining count of tornadoes included 4 EF-1s and 4 EF-0s. Miraculously, no one was killed or significantly injured in any of the tornadoes! The total estimated cost of insured damage for all the tornadoes alone is over $2 billion, which the Insurance Council of Texas claims is the most costly tornado event in the state's history. Of the straight line wind damage, the most severe was located in Farmersville in Collin Co where a mobile home was rolled and destroyed. Three people were injured in the home. Over a dozen other manufactured homes in the same area were damaged, too.",Thunderstorm winds caused damage to 2 sheds and several trees near FM 2437 and 2428 in far southern Hopkins County. Several trees lost several 8-14 diameter tree limbs. One shed was collapsed and another was leaning.,CSV
201908,10,1421,201908,10,1423,142176,853651,NORTH CAROLINA,37,August,Thunderstorm Wind,C,141,PENDER,ILM,10/08/19 14:21,EST-5,10/08/19 14:23,0,0,0,0,2000,0,Amateur Radio,56,EG,1,SE,ST HELENA,1,SE,ST HELENA,34.51,-77.91,34.51,-77.91,"A cold front produced strong storms, all in a small area in Pender County. Hail was also reported.","Trees were blown down across Newroad Ave, north of Rocky Point.",CSV
201908,9,1320,201908,9,1320,141902,851889,SOUTH DAKOTA,46,August,Thunderstorm Wind,C,119,SULLY,ABR,09/08/19 13:20,CST-6,09/08/19 13:20,0,0,0,0,0,0,Public,56,EG,3,S,ONIDA,3,S,ONIDA,44.66,-100.08,44.66,-100.08,"Severe thunderstorms brought winds to over seventy mph, ping-pong ball size hail, isolated flooding, along with a tornado to parts of central South Dakota during the afternoon hours.",Winds were estimated at sixty-five mph by a driver on Highway 83.,CSV
201908,13,1515,201908,13,1515,142239,854017,TENNESSEE,47,August,Thunderstorm Wind,C,159,SMITH,OHX,13/08/19 15:15,CST-6,13/08/19 15:15,0,0,0,0,3000,0,Social Media,50,EG,0,N,GRANT,0,N,GRANT,36.18,-86.08,36.18,-86.08,"Numerous strong to severe thunderstorms developed across Middle Tennessee during the afternoon hours on August 13. Many reports of wind damage, wind gusts measured over 50 knots, large hail, and some flash flooding were received.",A Facebook report indicated trees were blown down in the Grant community.,CSV
201903,8,2245,201903,8,2255,133688,800464,NEW MEXICO,35,March,Thunderstorm Wind,C,11,DE BACA,ABQ,08/03/19 22:45,MST-7,08/03/19 22:55,0,0,0,0,0,0,Mesonet,56,MG,1,NE,FT SUMNER,1,NE,FT SUMNER,34.4794,-104.2263,34.4794,-104.2263,"A storm system approaching New Mexico from the west on March 7, 2019 passed through the area on March 8, 2019. Widespread strong southwest winds developed during the morning and continued through the afternoon. Winds then shifted to the west as a potent cold front moved through the state during the evening. Winds peaked along the frontal boundary with many areas within the Rio Grande Valley into the eastern plains reporting wind gusts between 55 and 70 mph. The Albuquerque Sunport reported a peak wind gust to 69 mph. Hundreds of people lost power in the Albuquerque metro area as winds screamed through the city. Enough moisture was in place over the higher terrain for a few more inches of snow along with blowing snow and travel impacts. A sharp line of showers and thunderstorms formed over eastern New Mexico as the front progressed through the plains. Severe wind gusts reached 70 mph along the line of thunderstorms from Tucumcari to Clovis. Winds continued to howl along the east slopes of the central mountain chain through the night before slowly tapering off through the morning of the 9th.",The Columbia Scientific Balloon Facility reported a peak wind gust up to 64 mph as a line of thunderstorms moved through the area.,CSV
201907,10,1402,201907,10,1405,140310,843739,ILLINOIS,17,July,Thunderstorm Wind,C,163,ST. CLAIR,LSX,10/07/19 14:02,CST-6,10/07/19 14:05,0,0,0,0,0,0,Fire Department/Rescue,61,EG,1,W,IMBS,1,W,VILLA HILLS,38.5186,-90.1457,38.532,-90.1065,Activity associated with a weakening MCS and pre-frontal trof moved across the region. Some of the storms produced damaging winds.,"Thunderstorm winds caused intense and highly localized damage between the intersection of Imbs Station Road and Wagner Road and the intersection of Imbs Station Road and Illinois Route 163. Several power lines were blown down, as well as several trees uprooted, and damage to a couple of sheds.",CSV
201910,21,336,201910,21,336,142428,855000,ARKANSAS,5,October,Thunderstorm Wind,C,27,COLUMBIA,SHV,21/10/19 3:36,CST-6,21/10/19 3:36,0,0,0,0,0,0,NWS Storm Survey,61,EG,1,E,PLAINFIELD,1,E,PLAINFIELD,33.0503,-93.3007,33.0503,-93.3007,"A longwave trough dug south into the Southern Plains during the daytime hours of October 20th, with southerly winds increasing ahead of the trough helping to return low level moisture north from the Gulf of Mexico. Above normal temperatures were seen across much of the region as readings climbed into the mid 80s to near 90 degrees, which enhanced instability during the late afternoon through the evening hours across much of the Ark-La-Tex area. While an isolated severe thunderstorm affected portions of East Texas and extreme Northwest Louisiana during the early and mid-evening hours, additional strong to severe thunderstorms developed during the late evening through the early morning hours on October 21st across Northeast Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana ahead of this trough and associated strong cold front, as wind shear increased within a still unstable environment. These storms produced numerous reports of damaging winds across these areas, with an isolated tornado touching down in Southern Lafayette County before the storms diminished shortly after daybreak with the departure of this system.",A tree was uprooted along East Columbia County Road 4.,CSV
201905,18,1130,201905,18,1130,137108,828645,TEXAS,48,May,Thunderstorm Wind,C,439,TARRANT,FWD,18/05/19 11:30,CST-6,18/05/19 11:30,0,0,0,0,0,0,ASOS,50,MG,2,ENE,HASLET,2,ENE,HASLET,32.9769,-97.3162,32.9769,-97.3162,"A line of thunderstorms progressed steadily east across North and Central Texas on Saturday May 18, producing all forms of severe weather along with a few instances of flash flooding.",The Fort Worth Alliance Airport Automated Surface Observation System (ASOS) reported a wind gust of 58 mph.,CSV
201907,8,1600,201907,8,1602,137742,831920,NORTH DAKOTA,38,July,Thunderstorm Wind,C,23,DIVIDE,BIS,08/07/19 16:00,CST-6,08/07/19 16:02,0,0,0,0,0,0,Public,52,EG,7,NW,FORTUNA,7,NW,FORTUNA,48.99,-103.82,48.99,-103.82,"A surface boundary stretching from southwest into north central North Dakota served as the primary focal point for thunderstorm development in an atmosphere of very high instability. Initially, large hail was the main threat, though a couple of tornadoes developed in an area of enhanced low level shear. Later, storms mainly developed along an old outflow boundary and were slow moving. This combined with a moisture rich atmosphere which led to a heavy rain threat, in addition to a hail and strong wind  threat. The heaviest rain fell over Sioux and Emmons counties, where there were multiple reports of over four inches of rain. In Sioux County, on the Standing Rock Nation, flash flooding from the heavy rain resulted in a section of BIA Road 3, locally known as the Kenel Road, being washed out at the crossing with Joe Bush Creek. The culvert washed out and the road collapsed. Four vehicles drove into the washout and resulted in two fatalities and two injuries. The largest hail reported in this episode was golf ball size, and fell in Divide, Morton, and Burleigh counties. The strongest wind gusts were 60 mph, and occurred in Wells and Divide counties.",The public estimated thunderstorm wind gusts of 60 mph.,CSV
201908,26,2248,201908,26,2248,141655,850628,OKLAHOMA,40,August,Thunderstorm Wind,C,21,CHEROKEE,TSA,26/08/19 22:48,CST-6,26/08/19 22:48,0,0,0,0,0,0,Public,52,EG,3,SSW,ELLERVILLE,3,SSW,ELLERVILLE,35.9839,-94.9231,35.9839,-94.9231,"Thunderstorms developed into eastern Oklahoma during the evening of the 26th, as a cold front approached the region. The strongest storms produced damaging wind and large hail up to ping pong ball size.",Strong thunderstorm wind snapped numerous large tree limbs at the Diamond Head Resort.,CSV
201906,26,1409,201906,26,1409,139376,838885,NEW YORK,36,June,Thunderstorm Wind,C,23,CORTLAND,BGM,26/06/19 14:09,EST-5,26/06/19 14:09,0,0,0,0,10000,0,State Official,50,EG,3,S,TAYLOR,3,S,TAYLOR,42.58,-75.88,42.58,-75.88,A trough of low pressure brought showers and thunderstorms to portions of Central New York and the western Catskills during the afternoon and early evening of the 26th. Some of these thunderstorms became severe and produced damaging winds in these areas.,Strong thunderstorm winds brought down trees near Union Valley Road.,CSV
201904,18,1346,201904,18,1346,135643,845513,MISSISSIPPI,28,April,Thunderstorm Wind,C,49,HINDS,JAN,18/04/19 13:46,CST-6,18/04/19 13:46,0,0,0,0,10000,0,Public,50,EG,1,S,JACKSON HAWKINS FLD,1,S,JACKSON HAWKINS FLD,32.32,-90.22,32.32,-90.22,"During the daytime hours of April 18th, a developing storm system helped generate a large line of thunderstorms which then moved across the region. From this, a regional outbreak of tornadoes along with widespread wind damage occurred. This line became efficient at producing tornadoes as a meso-scale vortex developed. The combination of multiple environmental features, set the stage for 43 tornadoes to occur over the forecast area. This ranks as 4th most for a single event across the forecast area. In addition to the tornadoes, widespread wind damage occurred as well.",Trees and power lines were blown down across the Jackson Zoo.,CSV
201907,20,1000,201907,20,1000,138153,842268,WISCONSIN,55,July,Thunderstorm Wind,C,135,WAUPACA,GRB,20/07/19 10:00,CST-6,20/07/19 10:00,0,0,0,0,100000,0,Trained Spotter,61,EG,1,S,SCANDINAVIA,1,S,SCANDINAVIA,44.46,-89.13,44.46,-89.13,"For the second consecutive day, a line of powerful thunderstorms moved across portions of central and east-central Wisconsin. The worst damage occurred from Wood/Portage counties eastward into the Fox Valley and lakeshore. Trees were uprooted or snapped and several structures were damaged as a result of straight-line winds and six weak, fast-moving tornadoes.||There was also a fatality due to drowning in Keshena (Menominee Co.) from abnormally fast flows on the Wolf River.","Thunderstorm winds downed trees on homes, roads, and wires across Scandinavia. The time of this event is an estimate based on radar data.",CSV
201909,9,1506,201909,9,1506,142610,856133,MISSISSIPPI,28,September,Thunderstorm Wind,C,129,SMITH,JAN,09/09/19 15:06,CST-6,09/09/19 15:06,0,0,0,0,20000,0,Law Enforcement,50,EG,1,W,MIZE,1,W,MIZE,31.87,-89.56,31.87,-89.56,"With the atmosphere particularly favorable for microbursts, widespread thunderstorm activity developed across the southern half of Mississippi during the afternoon of September 9th. Several microbursts and strong outflow boundaries produced wind damage as thunderstorms moved northward.",A few trees and power lines were blown down near Mize.,CSV
201908,15,1510,201908,15,1510,140162,851529,NEW YORK,36,August,Thunderstorm Wind,C,15,CHEMUNG,BGM,15/08/19 15:10,EST-5,15/08/19 15:10,0,0,0,0,5000,0,State Official,50,EG,2,ESE,MIDWAY,2,ESE,MIDWAY,42.24,-76.8,42.24,-76.8,A surface trough along with an upper level wave moved across Central New York during the afternoon and evening of the 15th. This sparked several severe thunderstorms across the area.,Strong thunderstorm winds brought down a pole and wires near 903 Ridge Road.,CSV
201905,12,852,201905,12,852,137813,828069,ALABAMA,1,May,Thunderstorm Wind,C,61,GENEVA,TAE,12/05/19 8:52,CST-6,12/05/19 8:52,0,0,0,0,2000,0,911 Call Center,50,EG,1,N,GENEVA,1,N,GENEVA,31.04,-85.87,31.04,-85.87,"A squall line cross the area ahead of a cold front with several reports of trees and power lines down and a brief tornado in Dothan, AL.",A tree fell on a power lines near East Pervis and North Whitney in the city of Geneva.,CSV
201904,18,1822,201904,18,1822,136642,819904,ALABAMA,1,April,Thunderstorm Wind,C,97,MOBILE,MOB,18/04/19 18:22,CST-6,18/04/19 18:22,0,0,0,0,5000,0,Mesonet,50,MG,2,SE,SPRING HILL,2,SE,SPRING HILL,30.6761,-88.1275,30.6761,-88.1275,A line of thunderstorms along a strong cold front moved across the area. The storms produced high winds which caused damage across southwest Alabama.,Mesonet site EW8738.,CSV
201908,18,604,201908,18,604,140673,847731,OHIO,39,August,Thunderstorm Wind,C,7,ASHTABULA,CLE,18/08/19 6:04,EST-5,18/08/19 6:04,0,0,0,0,0,0,Broadcast Media,52,EG,1,W,GENEVA,1,W,GENEVA,41.8,-80.95,41.8,-80.95,A northern stream shortwave trough moved across the Great Lakes region. There was a warm and moist flow at the surface with modest mid level deep shear. Several rounds and clusters of thunderstorm developed and moved across northern Ohio with damaging winds.,A large tree branch was snapped off.,CSV
201908,14,1754,201908,14,1754,138983,835939,GULF OF MEXICO,85,August,Marine Thunderstorm Wind,Z,335,GALVESTON BAY,HGX,14/08/19 17:54,CST-6,14/08/19 17:54,0,0,0,0,0,0,Mesonet,39,MG,55,NNE,FREEPORT,55,NNE,FREEPORT,29.68,-94.98,29.68,-94.98,Showers and thunderstorms develop along and ahead of a slow southward moving cold front and generated some wind gusts as they reached the coast.,Wind gust was measured at Morgans Point PORTS site.,CSV
201907,17,1340,201907,17,1340,140581,844975,IOWA,19,July,Thunderstorm Wind,C,111,LEE,DVN,17/07/19 13:40,CST-6,17/07/19 13:40,0,0,0,0,0,0,Trained Spotter,61,EG,1,WSW,MT HAMILL,1,WSW,MT HAMILL,40.74,-91.64,40.74,-91.64,"A large complex of showers and thunderstorms progressed across southeast Iowa during the afternoon of July 17th. These storms produced damaging wind gusts up to 70 MPH at times, causing damage to roofs, carports, siding, and uprooted or damaged trees. Additionally, torrential rainfall amounts of 1 to 2 inches were reported. The torrential rains caused brief flash flooding in the city of Keokuk.",A trained spotter reported that a tool shed roof was blown off.  They estimated that the thunderstorm wind speeds were 60 to 70 MPH. The time of the event was estimated using radar.,CSV
201907,20,2145,201907,20,2145,139736,842607,PENNSYLVANIA,42,July,Thunderstorm Wind,C,47,ELK,CTP,20/07/19 21:45,EST-5,20/07/19 21:45,0,0,0,0,0,0,Social Media,52,EG,6,WSW,HALLTON,6,WSW,HALLTON,41.3692,-79.0544,41.3692,-79.0544,"A thunderstorm developed over northwestern Pennsylvania during the evening of July 20, ahead of a dying line of convection that was approaching from the Great Lakes. This cell produced a wind damage report in Elk County.",A severe thunderstorm producing winds estimated near 60 mph knocked down a few trees northeast of Millstone.,CSV
201907,21,2145,201907,21,2145,140582,844959,OKLAHOMA,40,July,Thunderstorm Wind,C,131,ROGERS,TSA,21/07/19 21:45,CST-6,21/07/19 21:45,0,0,0,0,0,0,Mesonet,50,MG,5,NW,TALALA,5,NW,TALALA,36.5743,-95.7452,36.5743,-95.7452,"Thunderstorms developed over southern Kansas during the early evening of the 21st, as a cold front moved into the region. These storms moved southeast across northeastern Oklahoma during the evening. The strongest storms produced damaging wind.",The Oklahoma Mesonet station near Talala measured 58 mph thunderstorm wind gusts.,CSV
201906,5,2013,201906,5,2013,136324,841460,KENTUCKY,21,June,Thunderstorm Wind,C,27,BRECKINRIDGE,LMK,05/06/19 20:13,CST-6,05/06/19 20:13,0,0,0,0,0,0,Amateur Radio,51,EG,3,NW,MC QUADY,3,NW,MC QUADY,37.73,-86.55,37.73,-86.55,"A moist and unstable air mass sat over the Ohio River Valley. CAPE values exceeded 3000 J/kg, but shear was weak. This provided an environment for pulse type thunderstorms. As the heat of the day began to build, it became enough to kickoff area thunderstorms. Thunderstorms across Kentucky caused several trees to fall, severe hail, and heavy rainfall which caused several locations to flood.||Over the flowing couple of days, moist air moved north from the Gulf of Mexico. Instability was enough to produce heavy rainfall, but not enough for widespread severe weather. Flooding was the result.",A tree was down on St. Mary Church Road.,CSV
